583.80417434, 189.843462247
576.467937608, 197.194107452
569.10589651, 205.395306859
560.658730159, 214.957010582
551.750319285, 225.669220945
543.596393035, 236.414179104
537.979127135, 246.447817837
532.516084873, 257.478439425
528.364341085, 267.595489782
525.303433001, 278.679401993
524.125419182, 287.847753186
522.875247525, 300.010561056
522.049731183, 311.843413978
522.038411458, 322.799479167
523.489459816, 334.173913043
525.396856582, 346.280288147
526.930526316, 355.66877193
529.892804699, 368.083700441
533.439787092, 378.759813706
537.416851441, 390.18699187
542.387055016, 400.16828479
545.676806084, 405.12991128
546.480620155, 404.050685748
547.822332233, 403.658415842
549.895061728, 405.203703704
553.492379059, 407.326706428
557.654019874, 406.33604336
569.016260163, 410.211382114
580.126843658, 410.752949853
584.0, 416.0
594.0, 416.0
600.303030303, 408.303030303
632.0, 408.0
647.265206813, 402.370640714
656.44716871, 398.540572096
651.0, 402.0
645.0, 395.0
657.0, 410.0
674.0, 421.0
672.0, 413.0
666.124567474, 408.309688581
676.0, 417.0
676.0, 417.0
667.019607843, 412.387254902
674.0, 417.0
670.5, 415.0
659.0, 413.0
669.292717087, 407.071428571
674.566579634, 397.97824195
672.299421009, 394.903225806
668.625144175, 385.983852364
660.455833333, 365.275
656.878576953, 354.558391338
651.71316166, 342.233905579
647.557446809, 333.017730496
641.957463264, 322.240525909
637.876993166, 314.301442673
632.269017981, 304.890733057
630.0, 293.0
620.780439122, 285.622089155
614.617208672, 275.536585366
609.470783533, 266.235723772
603.043281654, 254.396640827
597.288032454, 243.647734956
591.441985245, 233.029510396
586.015214385, 221.558091286
580.55257732, 210.438487973
575.292765382, 198.495605139
569.664690382, 186.941370224
564.624207858, 176.9626109
558.868247694, 166.216732543
553.881880025, 155.943722944
548.202020202, 144.399326599
543.478036176, 133.571059432
538.179391682, 121.996275605
533.419291339, 110.763779528
529.419550698, 101.312689739
528.955555556, 106.524279835
523.29986053, 112.440027894
515.561269841, 114.725714286
505.402359882, 117.750442478
493.882611425, 121.467671061
484.923124231, 125.170356704
474.324836601, 130.273202614
464.637952559, 137.013108614
456.185528757, 143.783549784
447.614137484, 152.079118029
439.861379755, 161.431979368
433.303902751, 171.451055662
428.174904943, 181.025348542
423.586568084, 191.285274184
419.094545455, 202.882424242
415.65248227, 213.10896196
411.553345389, 224.901748041
407.979089791, 237.098400984
404.91618682, 247.774792067
401.00210084, 259.490196078
396.713055003, 270.761431412
392.604861111, 280.993055556
388.462033462, 290.68983269
383.587622549, 301.56127451
379.15601612, 311.572251007
374.985374771, 321.478976234
370.782837128, 332.011091652
366.467353952, 342.738831615
361.273262662, 354.956419317
357.2, 366.577160494
352.914514145, 378.849938499
348.39298893, 390.875768758
343.505747126, 402.250957854
341.326086957, 406.147714604
340.201814059, 402.065192744
337.312431243, 401.787678768
332.038812785, 403.235730594
325.794326241, 406.058027079
302.5, 416.5
309.114851485, 411.230363036
301.328214971, 408.882917466
292.837121212, 404.671085859
284.411530815, 399.078860172
277.047249191, 393.440776699
268.673965937, 385.131995134
262.080749354, 376.313953488
255.710261569, 365.981220657
250.489781536, 356.195207893
244.957446809, 342.835589942
241.364043506, 331.178502879
238.16120745, 318.043673732
235.271656272, 305.498267498
232.776908023, 293.517938682
230.29158383, 281.971504307
227.680694723, 269.975283901
224.738888889, 259.020833333
220.825842697, 245.756554307
217.938162544, 233.625441696
214.61100804, 222.209029066
211.678678679, 210.665465465
208.082382763, 199.126742712
204.515318627, 187.760416667
201.075645756, 175.210947109
191.325505545, 135.09915199
188.490313961, 120.650634603
185.435897436, 106.35301133
183.280893043, 98.7320872274
176.808449074, 108.776041667
171.760778128, 109.768664564
165.270941652, 106.975736568
164.010844749, 104.882420091
166.54410894, 100.761397276
160.188888889, 91.5894444444
161.154540327, 90.7602932882
162.206401766, 89.1219646799
163.691613588, 88.588641189
164.344791667, 87.6401041667
164.435500516, 86.0902992776
177.0, 92.0
164.805758907, 82.4426549536
166.578695392, 85.7588270497
165.409570154, 95.4582319546
163.585701981, 103.873385013
161.706908115, 110.308517773
164.24423676, 114.719626168
164.264408794, 119.416518122
165.752342704, 123.998661312
168.434432234, 130.025641026
166.375085558, 138.532511978
163.310638298, 148.811347518
161.19330855, 160.016109046
159.919236417, 170.748898678
159.838424983, 181.384928717
159.866102889, 191.627906977
161.157588962, 203.432824982
162.426863572, 214.681434599
165.037940379, 226.770325203
167.391566265, 237.890896921
172.5, 262.5
172.671968191, 258.615639496
176.424773022, 268.881971466
179.012516469, 278.273386034
182.597997139, 290.040772532
186.033117351, 301.660907127
188.664444444, 313.888148148
191.944802867, 326.372759857
194.458430458, 338.044289044
196.401157982, 350.151364764
197.823283082, 361.690117253
198.298288509, 374.083129584
198.583146905, 385.901565996
197.770778653, 398.058617673
208.5, 392.5
200.342774147, 398.448075527
200.973741794, 395.024070022
195.708015267, 394.295165394
186.67961165, 393.172815534
166.5, 384.5
167.707502374, 387.237416904
161.0, 390.0
165.0, 392.0
165.015346839, 380.222222222
165.25167336, 371.521419009
167.597345133, 359.265486726
170.382222222, 346.712888889
174.739263804, 334.665644172
180.605721393, 322.0
186.005979073, 309.251121076
195.513541667, 296.032291667
201.686666667, 284.806666667
209.653530378, 274.68226601
217.665090623, 264.821907013
226.365665897, 255.41878368
235.604347826, 246.57826087
244.925856698, 236.744548287
254.137218045, 227.806390977
262.926423544, 219.127319258
272.289962825, 209.838289963
279.983950617, 201.698148148
287.950850662, 192.97794581
296.417821782, 183.18019802
305.332038835, 173.180582524
314.788666667, 162.650666667
323.460666667, 152.632
